Strain Name,Virus Type,GenBank Accession,Sequence Length,Pango Genome Lineage,Collection Date,Host,GenBank Host,Country,Mol Type
EGY/7/2012,Foot-and-mouth disease virus - type SAT 2,JX013978,648,-N/A-,03-11-12,Buffalo,buffalo,Egypt,genomic RNA
EGY/26/2012,Foot-and-mouth disease virus - type SAT 2,JX013979,648,-N/A-,03/15/2012,Buffalo,buffalo,Egypt,genomic RNA
EGY/23/2012,Foot-and-mouth disease virus - type SAT 2,JX013975,597,-N/A-,03/13/2012,Cattle,cattle,Egypt,genomic RNA
EGY/7/2012,Foot-and-mouth disease virus - type SAT 2,JX013976,597,-N/A-,03-11-12,Buffalo,buffalo,Egypt,genomic RNA
O/Egy/Sharquia/2009,Foot-and-mouth disease virus - type O,KC565750,394,-N/A-,2009,Cattle,cattle,Egypt,genomic RNA
O/Egy/Qaliubiya/2009,Foot-and-mouth disease virus - type O,KC565751,394,-N/A-,2009,Cattle,cattle,Egypt,genomic RNA
O/Egy/Sharquia/2010,Foot-and-mouth disease virus - type O,KC565752,395,-N/A-,2010,Cattle,cattle,Egypt,genomic RNA
O/Egy/Menoufia/2010,Foot-and-mouth disease virus - type O,KC565753,395,-N/A-,2010,Cattle,cattle,Egypt,genomic RNA
A/Egy/Menoufia/2010,Foot-and-mouth disease virus - type A,KC888938,683,-N/A-,-N/A-,Cattle,cattle,Egypt,genomic RNA
18RAKAI,Foot-and-mouth disease virus - type O,KC987540,421,-N/A-,12-10-10,Swine,Sus scrofa,Uganda,genomic RNA
SAT2/Egy/Alex/2012,Foot-and-mouth disease virus - type SAT 2,KC888942,240,-N/A-,2012,Cattle,cattle,Egypt,genomic RNA
SAT2/Egy/Sharquia/2012,Foot-and-mouth disease virus - type SAT 2,KC888940,240,-N/A-,2012,Cattle,cattle,Egypt,genomic RNA
A/Egy/Qaliubia/2011,Foot-and-mouth disease virus - type A,KC888939,683,-N/A-,-N/A-,Cattle,cattle,Egypt,genomic RNA
SAT2/Egy/Garbia/2012,Foot-and-mouth disease virus - type SAT 2,KC888941,240,-N/A-,2012,Cattle,cattle,Egypt,genomic RNA
A/Egy/Sharquia/2009,Foot-and-mouth disease virus - type A,KC888937,662,-N/A-,-N/A-,Cattle,cattle,Egypt,genomic RNA
SAT2/Egy/Menia/2012,Foot-and-mouth disease virus - type SAT 2,KC888943,240,-N/A-,2012,Cattle,cattle,Egypt,genomic RNA
KEN/4/2008 (K6/08),Foot-and-mouth disease virus - type O,KF135277,639,-N/A-,02-06-08,Cattle,cattle,Kenya,genomic RNA
KEN/30/2004 (K176/04),Foot-and-mouth disease virus - type O,KF135271,639,-N/A-,12/24/2004,Cattle,cattle,Kenya,genomic RNA
KEN/6/2009 (K16/09),Foot-and-mouth disease virus - type O,KF135279,639,-N/A-,02-01-09,Cattle,cattle,Kenya,genomic RNA
KEN/10/2009 (K29/09),Foot-and-mouth disease virus - type O,KF135280,639,-N/A-,02-01-09,Cattle,cattle,Kenya,genomic RNA
K24/2011,Foot-and-mouth disease virus - type O,KF207881,636,-N/A-,02-04-11,Cattle,cattle,Kenya,genomic RNA
KEN/148/2010 (K222/10),Foot-and-mouth disease virus - type O,KF135285,639,-N/A-,11/17/2010,Cattle,cattle,Kenya,genomic RNA
KEN/27/2005 (K46/05),Foot-and-mouth disease virus - type O,KF135274,639,-N/A-,07/15/2005,Cattle,cattle,Kenya,genomic RNA
KEN/14/2005 (K48/05),Foot-and-mouth disease virus - type O,KF135273,639,-N/A-,07/21/2005,Cattle,cattle,Kenya,genomic RNA
KEN/5/2011 (K32/11),Foot-and-mouth disease virus - type O,KF135290,639,-N/A-,02/15/2011,Cattle,cattle,Kenya,genomic RNA
KEN/6/2011 (K33/11),Foot-and-mouth disease virus - type O,KF135291,639,-N/A-,02/19/2011,Cattle,cattle,Kenya,genomic RNA
KEN/100/2010 (K72/10),Foot-and-mouth disease virus - type O,KF135281,642,-N/A-,04/28/2010,Cattle,cattle,Kenya,genomic RNA
KEN/1/99 (K1/99),Foot-and-mouth disease virus - type O,KF135267,639,-N/A-,01-07-99,Cattle,cattle,Kenya,genomic RNA
KEN/152/2010 (K249/10),Foot-and-mouth disease virus - type O,KF135288,639,-N/A-,12/23/2010,Cattle,cattle,Kenya,genomic RNA
KEN/16/2011 (K98/11),Foot-and-mouth disease virus - type O,KF135293,639,-N/A-,09/22/2011,Cattle,cattle,Kenya,genomic RNA
KEN/7/98 (K30/98),Foot-and-mouth disease virus - type O,KF135266,639,-N/A-,06/25/1998,Cattle,cattle,Kenya,genomic RNA
KEN/4/2005 (K7/05),Foot-and-mouth disease virus - type O,KF135272,639,-N/A-,01/26/2005,Cattle,cattle,Kenya,genomic RNA
KEN/146/2010 (K220/10),Foot-and-mouth disease virus - type O,KF135284,639,-N/A-,11/16/2010,Cattle,cattle,Kenya,genomic RNA
KEN/12/2007 (K57/07),Foot-and-mouth disease virus - type O,KF135275,639,-N/A-,07/23/2007,Cattle,cattle,Kenya,genomic RNA
KEN/1/2011 (K10/11),Foot-and-mouth disease virus - type O,KF135289,639,-N/A-,01-12-11,Cattle,cattle,Kenya,genomic RNA
KEN/151/2010 (K233/10),Foot-and-mouth disease virus - type O,KF135287,639,-N/A-,12-01-10,Cattle,cattle,Kenya,genomic RNA
K47/2011,Foot-and-mouth disease virus - type O,KF207884,636,-N/A-,04-08-11,Cattle,cattle,Kenya,genomic RNA
KEN/137/2010 (K152/10),Foot-and-mouth disease virus - type O,KF135282,639,-N/A-,07-06-10,Cattle,cattle,Kenya,genomic RNA
KEN/15/2011 (K91/11),Foot-and-mouth disease virus - type O,KF135292,639,-N/A-,09/18/2011,Cattle,cattle,Kenya,genomic RNA
K182/2010,Foot-and-mouth disease virus - type O,KF207885,636,-N/A-,08/26/2010,Cattle,cattle,Kenya,genomic RNA
K251/2010,Foot-and-mouth disease virus - type O,KF207887,636,-N/A-,12/29/2010,Cattle,cattle,Kenya,genomic RNA
KEN/29/2004 (K170/04),Foot-and-mouth disease virus - type O,KF135270,639,-N/A-,10/21/2004,Cattle,cattle,Kenya,genomic RNA
K38/2011,Foot-and-mouth disease virus - type O,KF207883,636,-N/A-,03-02-11,Cattle,cattle,Kenya,genomic RNA
KEN/150/2010 (K224/10),Foot-and-mouth disease virus - type O,KF135286,639,-N/A-,11/22/2010,Cattle,cattle,Kenya,genomic RNA
KEN/145/2010 (K211/10),Foot-and-mouth disease virus - type O,KF135283,639,-N/A-,10/19/2010,Cattle,cattle,Kenya,genomic RNA
KEN/3/2002 (K56/02),Foot-and-mouth disease virus - type O,KF135268,639,-N/A-,07/29/2002,Cattle,cattle,Kenya,genomic RNA
KEN/24/2004 (K139/04),Foot-and-mouth disease virus - type O,KF135269,639,-N/A-,07/30/2004,Cattle,cattle,Kenya,genomic RNA
K31/2011,Foot-and-mouth disease virus - type O,KF207882,636,-N/A-,02-12-11,Cattle,cattle,Kenya,genomic RNA
KEN/36/2008 (K104/08),Foot-and-mouth disease virus - type O,KF135278,639,-N/A-,12-01-08,Cattle,cattle,Kenya,genomic RNA
K241/2010,Foot-and-mouth disease virus - type O,KF207886,636,-N/A-,12/17/2010,Cattle,cattle,Kenya,genomic RNA
KEN/3/2008 (K4/08),Foot-and-mouth disease virus - type O,KF135276,639,-N/A-,01/23/2008,Cattle,cattle,Kenya,genomic RNA
SEN/27/2009,Foot-and-mouth disease virus - type SAT 2,KF112967,648,-N/A-,10-09-09,Cattle,cattle,Senegal,genomic RNA
O/K77/78,Foot-and-mouth disease virus - type O,DQ165072,639,-N/A-,-N/A-,Unknown,-N/A-,Kenya,genomic RNA
TAN/2/2004,Foot-and-mouth disease virus - type O,KF561679,639,-N/A-,2004,Cattle,cattle,Tanzania,genomic RNA
ETH/42/2009,Foot-and-mouth disease virus - type SAT 2,KF112938,648,-N/A-,06/16/2009,Unknown,not known,Ethiopia,genomic RNA
K77/78,Foot-and-mouth disease virus - type O,HM756588,639,-N/A-,1978,Cattle,bovine,Kenya,genomic RNA
K101/80,Foot-and-mouth disease virus - type O,HM756589,639,-N/A-,1980,Cattle,bovine,Kenya,genomic RNA
K5/05,Foot-and-mouth disease virus - type O,HM756622,639,-N/A-,2005,Cattle,bovine,Kenya,genomic RNA
TAN/26/99,Foot-and-mouth disease virus - type SAT 1,KF561717,663,-N/A-,1999,Cattle,cattle,Tanzania,genomic RNA
O/KEN/5/2002,Foot-and-mouth disease virus - type O,DQ165073,639,-N/A-,-N/A-,Unknown,-N/A-,Kenya,genomic RNA
MOZ/1/70,Foot-and-mouth disease virus - type SAT 2,KF112959,648,-N/A-,01-10-70,Unknown,not known,Mozambique,genomic RNA
K56/95,Foot-and-mouth disease virus - type O,HM756601,639,-N/A-,1995,Cattle,bovine,Kenya,genomic RNA
RWA/1/2004,Foot-and-mouth disease virus - type SAT 2,KF112964,648,-N/A-,2004,Unknown,not known,Rwanda,genomic RNA
U25/06,Foot-and-mouth disease virus - type O,HM756628,639,-N/A-,2006,Cattle,bovine,Uganda,genomic RNA
U19/11,Foot-and-mouth disease virus - type O,KF478940,639,-N/A-,03-04-11,Cattle,cattle,Uganda,genomic RNA
GHA/16/73,Foot-and-mouth disease virus - type A,KF561698,636,-N/A-,1973,Unknown,-N/A-,Ghana,genomic RNA
K131/00,Foot-and-mouth disease virus - type O,HM756609,639,-N/A-,2000,Cattle,bovine,Kenya,genomic RNA
O1/Sharquia/EGY/72,Foot-and-mouth disease virus - type O,DQ164871,639,-N/A-,-N/A-,Unknown,-N/A-,Egypt,genomic RNA
O/MAL/1/98,Foot-and-mouth disease virus - type O,DQ165074,639,-N/A-,-N/A-,Unknown,-N/A-,Malawi,genomic RNA
TAN/47/2009,Foot-and-mouth disease virus - type A,KF561697,639,-N/A-,Nov-09,Cattle,cattle,Tanzania,genomic RNA
K130/00,Foot-and-mouth disease virus - type O,HM756608,639,-N/A-,2000,Cattle,bovine,Kenya,genomic RNA
TAN/2/71,Foot-and-mouth disease virus - type SAT 1,KF561707,663,-N/A-,1971,Cattle,cattle,Tanzania,genomic RNA
TAN/6/99,Foot-and-mouth disease virus - type SAT 1,KF561712,663,-N/A-,Jun-99,Cattle,cattle,Tanzania,genomic RNA
K52/92,Foot-and-mouth disease virus - type O,HM756597,639,-N/A-,1992,Cattle,bovine,Kenya,genomic RNA
TAN/9/2009,Foot-and-mouth disease virus - type A,KF561693,639,-N/A-,Jun-09,Cattle,cattle,Tanzania,genomic RNA
K48/05,Foot-and-mouth disease virus - type O,HM756624,639,-N/A-,2005,Cattle,bovine,Kenya,genomic RNA
O/GNA/4/99,Foot-and-mouth disease virus - type O,DQ165071,639,-N/A-,-N/A-,Unknown,-N/A-,Guinea,genomic RNA
SAR/3/79,Foot-and-mouth disease virus - type SAT 2,KF112966,648,-N/A-,06/22/1979,Cattle,cattle,South Africa,genomic RNA
K150/00,Foot-and-mouth disease virus - type O,HM756613,639,-N/A-,2000,Cattle,bovine,Kenya,genomic RNA
TAN/1/96,Foot-and-mouth disease virus - type SAT 1,KF561710,663,-N/A-,May-96,Cattle,cattle,Tanzania,genomic RNA
K117/00,Foot-and-mouth disease virus - type O,HM756607,639,-N/A-,2000,Cattle,bovine,Kenya,genomic RNA
K31/07,Foot-and-mouth disease virus - type O,HM756633,639,-N/A-,2007,Cattle,bovine,Kenya,genomic RNA
K28/07,Foot-and-mouth disease virus - type O,HM756631,639,-N/A-,2007,Cattle,bovine,Kenya,genomic RNA
TAN/11/2009,Foot-and-mouth disease virus - type A,KF561694,639,-N/A-,Jun-09,Cattle,cattle,Tanzania,genomic RNA
ETH/76/2009,Foot-and-mouth disease virus - type SAT 2,KF112954,648,-N/A-,12/29/2009,Cattle,cattle,Ethiopia,genomic RNA
ZIM/5/87,Foot-and-mouth disease virus - type SAT 2,KF112974,648,-N/A-,07-01-87,Cattle,cattle,Zimbabwe,genomic RNA
K34/93,Foot-and-mouth disease virus - type O,HM756599,639,-N/A-,1993,Cattle,bovine,Kenya,genomic RNA
TAN/1/2004,Foot-and-mouth disease virus - type O,KF561678,639,-N/A-,2004,Cattle,cattle,Tanzania,genomic RNA
TAN/3/68 (T809/67),Foot-and-mouth disease virus - type A,KF561688,639,-N/A-,1967,Cattle,cattle,Tanzania,genomic RNA
TAN/12/2004,Foot-and-mouth disease virus - type O,KF561681,639,-N/A-,2004,Cattle,cattle,Tanzania,genomic RNA
ETH/64/2009,Foot-and-mouth disease virus - type SAT 2,KF112944,648,-N/A-,11/19/2009,Cattle,cattle,Ethiopia,genomic RNA
TAN/42/2009,Foot-and-mouth disease virus - type A,KF561695,639,-N/A-,Sep-09,Cattle,cattle,Tanzania,genomic RNA
K121/91,Foot-and-mouth disease virus - type O,HM756595,639,-N/A-,1991,Cattle,bovine,Kenya,genomic RNA
TAN/18/99,Foot-and-mouth disease virus - type SAT 1,KF561713,663,-N/A-,1999,Cattle,cattle,Tanzania,genomic RNA
K14/08,Foot-and-mouth disease virus - type O,HM756638,639,-N/A-,2008,Cattle,bovine,Kenya,genomic RNA
TAN/60/99,Foot-and-mouth disease virus - type SAT 1,KF561721,663,-N/A-,1999,Wildebeest,wildebeest,Tanzania,genomic RNA
K45/01,Foot-and-mouth disease virus - type O,HM756614,639,-N/A-,2001,Cattle,bovine,Kenya,genomic RNA
K103/82,Foot-and-mouth disease virus - type O,HM756590,639,-N/A-,1982,Cattle,bovine,Kenya,genomic RNA
TAN/12/2008,Foot-and-mouth disease virus - type A,KF561691,639,-N/A-,Aug-08,Cattle,cattle,Tanzania,genomic RNA
U04/11,Foot-and-mouth disease virus - type O,KF478938,639,-N/A-,03-04-11,Cattle,cattle,Uganda,genomic RNA
ZIM/5/81,Foot-and-mouth disease virus - type SAT 2,KF112972,648,-N/A-,11-06-81,Cattle,cattle,Zimbabwe,genomic RNA
RWA/13/96,Foot-and-mouth disease virus - type SAT 2,KF112963,648,-N/A-,05-06-96,Cattle,cattle,Rwanda,genomic RNA
TAN/43/99,Foot-and-mouth disease virus - type SAT 1,KF561719,663,-N/A-,1999,Cattle,cattle,Tanzania,genomic RNA
TAN/18/2004,Foot-and-mouth disease virus - type SAT 2,KF561725,648,-N/A-,2004,Cattle,cattle,Tanzania,genomic RNA
ZIM/1/87,Foot-and-mouth disease virus - type SAT 2,KF112973,648,-N/A-,03/24/1987,Cattle,cattle,Zimbabwe,genomic RNA
K4/08,Foot-and-mouth disease virus - type O,HM756636,639,-N/A-,2008,Cattle,bovine,Kenya,genomic RNA
SA/2/67,Foot-and-mouth disease virus - type SAT 2,KF112965,648,-N/A-,10-09-67,Antelope,Aepyceros melampus (impala),South Africa,genomic RNA
K145/00,Foot-and-mouth disease virus - type O,HM756611,639,-N/A-,2000,Cattle,bovine,Kenya,genomic RNA
U20B/04,Foot-and-mouth disease virus - type O,HM756621,639,-N/A-,2004,Cattle,bovine,Uganda,genomic RNA
ZAM/3/81,Foot-and-mouth disease virus - type SAT 2,KF112971,648,-N/A-,11-04-81,Cattle,cattle,Zambia,genomic RNA
U07/11,Foot-and-mouth disease virus - type O,KF478939,639,-N/A-,04-01-11,Cattle,cattle,Uganda,genomic RNA
TAN/9/2004,Foot-and-mouth disease virus - type SAT 2,KF561724,648,-N/A-,2004,Cattle,cattle,Tanzania,genomic RNA
TAN/2/77,Foot-and-mouth disease virus - type SAT 1,KF561708,663,-N/A-,1977,Cattle,cattle,Tanzania,genomic RNA
SUD/4/2010,Foot-and-mouth disease virus - type SAT 2,KF112968,648,-N/A-,02-09-10,Cattle,cattle,Sudan,genomic RNA
TAN/4/2009,Foot-and-mouth disease virus - type A,KF561692,639,-N/A-,May-09,Cattle,cattle,Tanzania,genomic RNA
ETH/65/2009,Foot-and-mouth disease virus - type SAT 2,KF112945,648,-N/A-,11/19/2009,Cattle,cattle,Ethiopia,genomic RNA
TAN/45/2009,Foot-and-mouth disease virus - type A,KF561696,639,-N/A-,Nov-09,Cattle,cattle,Tanzania,genomic RNA
ETH/72/2009,Foot-and-mouth disease virus - type SAT 2,KF112950,648,-N/A-,11/19/2009,Swine,pig,Ethiopia,genomic RNA
U13B/04,Foot-and-mouth disease virus - type O,HM756618,639,-N/A-,2004,Cattle,bovine,Uganda,genomic RNA
RHO/2/72A,Foot-and-mouth disease virus - type SAT 2,KF112962,648,-N/A-,09/25/1972,Cattle,cattle,Zimbabwe,genomic RNA
K30/07,Foot-and-mouth disease virus - type O,HM756632,639,-N/A-,2007,Cattle,bovine,Kenya,genomic RNA
TAN/51/99,Foot-and-mouth disease virus - type SAT 1,KF561720,663,-N/A-,Aug-99,Cattle,cattle,Tanzania,genomic RNA
NGR/15/2005,Foot-and-mouth disease virus - type SAT 2,KF112960,648,-N/A-,12/31/2005,Cattle,cattle,Niger,genomic RNA
U24/11,Foot-and-mouth disease virus - type O,KF478941,639,-N/A-,03-09-11,Cattle,cattle,Uganda,genomic RNA
U12/05,Foot-and-mouth disease virus - type O,HM756625,639,-N/A-,2005,Cattle,bovine,Uganda,genomic RNA
U14B/04,Foot-and-mouth disease virus - type O,HM756619,639,-N/A-,2004,Cattle,bovine,Uganda,genomic RNA
KEN/8/2008 (K13/08),Foot-and-mouth disease virus - type A,KF561701,639,-N/A-,Feb-08,Cattle,cattle,Kenya,genomic RNA
K6/07,Foot-and-mouth disease virus - type O,HM756630,639,-N/A-,2007,Cattle,bovine,Kenya,genomic RNA
ETH/52/2009,Foot-and-mouth disease virus - type SAT 2,KF112941,648,-N/A-,11/17/2009,Cattle,cattle,Ethiopia,genomic RNA
KEN/28/2008 (K73/08),Foot-and-mouth disease virus - type A,KF561702,639,-N/A-,Aug-08,Cattle,cattle,Kenya,genomic RNA
U17B/04,Foot-and-mouth disease virus - type O,HM756620,639,-N/A-,2004,Cattle,bovine,Uganda,genomic RNA
K82/98,Foot-and-mouth disease virus - type O,HM756602,639,-N/A-,1998,Cattle,bovine,Kenya,genomic RNA
ETH/70/2009,Foot-and-mouth disease virus - type SAT 2,KF112949,648,-N/A-,11/19/2009,Cattle,cattle,Ethiopia,genomic RNA
UGA/13/66,Foot-and-mouth disease virus - type A,KF561705,639,-N/A-,1966,Unknown,-N/A-,Uganda,genomic RNA
K147/00,Foot-and-mouth disease virus - type O,HM756612,639,-N/A-,2000,Cattle,bovine,Kenya,genomic RNA
U97/99,Foot-and-mouth disease virus - type O,HM756604,642,-N/A-,1999,Cattle,bovine,Uganda,genomic RNA
